3
100 1
100
0.2309539963219377
1 0 0 0 1 0 0 0 1
T T T
0.4963278770720254 0.9338115397850698 0.8331750332387785 
0.7459160008279988 0.2444861217303872 0.7199148965841676 
0.9895396701258746 0.02899890790376472 0.2019093630905012 
0.5820554364589432 0.1476664006944576 0.8520649741102102 
0.6037317126939518 0.8764895884272096 0.2255915056967746 
0.2620592232436842 0.563362483780713 0.903934239975731 
0.3865276405652728 0.444910340541057 0.7484345699910918 
0.8172202545639816 0.01362936919938796 0.004343371055675707 
0.6602978207096801 0.1982584639091666 0.499955107608744 
0.07191116918628147 0.5706833591818271 0.1123378833376755 
0.05093065292448751 0.8101566233753524 0.1331852947236346 
0.5286393095004073 0.2679572561006742 0.04273084105749202 
0.9241964760049505 0.8722477084712379 0.6294055472173372 
0.1095164026063117 0.9058703840611086 0.7727470083820124 
0.1778902850509103 0.163170412960448 0.05584761657717664 
0.7219997714320978 0.357846634087759 0.3444031638734483 
0.1386559271095943 0.8854598636722971 0.5444636283803128 
0.3857044767343088 0.07946136555065178 0.9852119889189358 
0.7353592617148015 0.6079401537196419 0.1796129118161047 
0.3278010260114876 0.916007590436836 0.6762300708081586 
0.3702871122827243 0.1286807707951344 0.760032124977808 
0.5984793437484134 0.04816969761857205 0.07044499446352398 
0.8302847234578581 0.8620319024715587 0.179059711456424 
0.3589599253130588 0.8217186288101684 0.2564540366797692 
0.2858888152969364 0.4894498514057554 0.1449491149443251 
0.03377152197695506 0.0714455007246977 0.4557960502853421 
0.5516358178665668 0.02230937327922028 0.3969672583083497 
0.5819858071564419 0.5667714617956829 0.7303928716132629 
0.3366312559694214 0.295164464870512 0.9172920667900276 
0.3759950535004278 0.1729004631783184 0.3979361639352606 
0.5337671247761174 0.03325747881951365 0.6275706131870991 
0.6143251020629729 0.376596571943126 0.857605211522333 
0.9356832471426925 0.8749899729825106 0.3841525165724387 
0.180373748330429 0.6815432004762829 0.2998895769992482 
0.1293967555761542 0.6887827379172107 0.6960757224587464 
0.2151421626332057 0.5217307376536652 0.5614679805533546 
0.9744858088459839 0.2961964324961793 0.8534678550565825 
0.1770171417755779 0.1385668595795684 0.2855347600018452 
0.1784935486048032 0.3437665922287881 0.7560170960884485 
0.3158043370566984 0.3133912024809115 0.5721962444520106 
0.3582408545389953 0.6729080067426108 0.7234358570902849 
0.2393861427141517 0.9416564981690034 0.0990429296567332 
0.8419484774158332 0.08346558347212368 0.584982681677216 
0.8399349587134588 0.5308165381939686 0.4425454886494791 
0.4598769898068747 0.4828173860109209 0.9931856094352479 
0.522656822869666 0.2763602476279825 0.6683977950786267 
0.6934749677384715 0.5713374324184951 0.9540124182022689 
0.7674759924127512 0.1698336809083782 0.1711484827880753 
0.5336728594943827 0.8023909927558756 0.6468680211551963 
0.3990684316776031 0.6044383834002507 0.324103867133599 
0.5005070088539294 0.6957295704882231 0.904788669771737 
0.7183967188214163 0.6764293307363641 0.5787274857364069 
0.8190440272248399 0.454430906061936 0.7843016520505079 
0.9011985758364115 0.4592847249555403 0.0003152701382218636 
0.6750142681387098 0.7932289354146365 0.02193014630870087 
